Fungal_Genus,Bacterial_Genus,Group,Spearman_Rho,P_value,Mean_Fungal_Abundance,Mean_Bacterial_Abundance
g__Talaromyces,g__Faecalibacterium,BMD_Day21,0.69047619,0.069394841,0.160276813,0.141782984
g__Talaromyces,g__Limosilactobacillus,BMD_Day21,-0.69047619,0.069394841,0.160276813,0.051205899
g__Fusarium,g__Lactobacillus,Essential oils_Day21,0.69047619,0.069394841,0.118734452,0.167748054
g__Fusarium,g__Flavonifractor,Essential oils_Day21,-0.69047619,0.069394841,0.118734452,0.018628755
g__Pyricularia,g__Lactobacillus,Basal Diet_Day21,0.69047619,0.069394841,0.06524333,0.176589499
g__Cutaneotrichosporon,g__Blautia,Basal Diet_Day10,0.627208741,0.070605206,0.040291389,0.022062926
g__Cutaneotrichosporon,g__Lachnoclostridium,Basal Diet_Day10,0.627208741,0.070605206,0.040291389,0.020317198
g__Zymoseptoria,g__Shigella,Basal Diet_Day10,-0.620752232,0.074437965,0.005723635,0.001375658
g__Candida,g__Bifidobacterium,BMD_Day10,-0.658732549,0.075666791,0.036677394,0.003773746
g__Tetrapisispora,g__Enterococcus,BMD_Day10,-0.658732549,0.075666791,0.031912305,0.483332009
g__Zymoseptoria,g__Lactobacillus,Basal Diet_Day21,0.658732549,0.075666791,0.039425984,0.176589499
g__Colletotrichum,g__Shigella,BMD_Day10,0.658694444,0.075689688,0.05592803,0.002878161
g__Ascochyta,g__Clostridium,Probiotic_Day10,0.658694444,0.075689688,0.022394557,0.02003968
g__Saccharomyces,g__Enterococcus,Probiotic_Day10,-0.658694444,0.075689688,0.011953729,0.348663451
g__Talaromyces,g__Escherichia,Basal Diet_Day10,0.633333333,0.076036155,0.071143344,0.062434433
g__Saccharomyces,g__Streptococcus,BMD_Day1,-0.654653671,0.078140749,0.01675932,0.008232814
g__Pyricularia,g__Shigella,Essential oils_Day1,-0.654653671,0.078140749,0.007703141,0.024208284
g__Saccharomyces,g__Streptococcus,Basal Diet_Day21,-0.654653671,0.078140749,0.005293173,0.003302681
g__Eremothecium,g__Streptococcus,Basal Diet_Day21,-0.654653671,0.078140749,0.016034352,0.003302681
g__Pyricularia,g__Streptococcus,BMD_Day1,0.654653671,0.078140749,0.005580357,0.008232814
g__Pyricularia,g__Shigella,BMD_Day1,0.654653671,0.078140749,0.005580357,0.024299832
g__Ascochyta,g__Escherichia,BMD_Day1,0.654653671,0.078140749,0.007913961,0.740430565
g__Saccharomyces,g__Faecalibacterium,BMD_Day10,0.654653671,0.078140749,0.003648657,0.014226805
g__Zymoseptoria,g__Bifidobacterium,Essential oils_Day21,0.654653671,0.078140749,0.021362486,0.050443819
g__Ustilago,g__Massilistercora,Basal Diet_Day21,0.654653671,0.078140749,0.0072596,0.019725862
g__Cutaneotrichosporon,g__Subdoligranulum,Basal Diet_Day10,0.610257153,0.08093967,0.040291389,0.014043194
g__Candida,g__Bifidobacterium,Basal Diet_Day10,-0.609271796,0.081567507,0.112888233,0.057273827
g__Ustilago,g__Enterococcus,BMD_Day10,-0.646866519,0.082993625,0.022956064,0.483332009
g__Ustilago,g__Blautia,BMD_Day21,-0.646866519,0.082993625,0.010789389,0.032763245
g__Colletotrichum,g__Escherichia,Essential oils_Day21,-0.646866519,0.082993625,0.035162325,0.041657308
g__Colletotrichum,g__Shigella,Essential oils_Day21,-0.646866519,0.082993625,0.035162325,0.001109635
g__Fusarium,g__Enterococcus,BMD_Day10,0.666666667,0.083085317,0.140041055,0.483332009
g__Pyricularia,g__Bifidobacterium,BMD_Day10,0.666666667,0.083085317,0.054398399,0.003773746
g__Fusarium,g__Lactobacillus,Essential oils_Day10,-0.666666667,0.083085317,0.121044235,0.219766689
g__Aspergillus,g__Streptococcus,Essential oils_Day10,-0.666666667,0.083085317,0.142456828,0.011863543
g__Colletotrichum,g__Subdoligranulum,Essential oils_Day10,-0.666666667,0.083085317,0.054673159,0.019769881
g__Candida,g__Streptococcus,Probiotic_Day10,0.666666667,0.083085317,0.110786728,0.012357095
g__Tetrapisispora,g__Subdoligranulum,Probiotic_Day10,0.666666667,0.083085317,0.036292656,0.021243091
g__Pyricularia,g__Ligilactobacillus,BMD_Day21,-0.666666667,0.083085317,0.093822448,0.040594284
g__Fusarium,g__Lachnoclostridium,Essential oils_Day21,0.666666667,0.083085317,0.118734452,0.044370246
g__Aspergillus,g__Streptococcus,Essential oils_Day21,-0.666666667,0.083085317,0.148266071,0.003419782
g__Aspergillus,g__Flavonifractor,Essential oils_Day21,0.666666667,0.083085317,0.148266071,0.018628755
g__Colletotrichum,g__Ligilactobacillus,Probiotic_Day21,0.666666667,0.083085317,0.04875637,0.042970001
g__Fusarium,g__Lactobacillus,BMD_Day1,0.646718181,0.083087725,0.221947267,0.016386405
g__Eremothecium,g__Streptococcus,Probiotic_Day21,-0.646718181,0.083087725,0.050449409,0.002766541
g__Fusarium,g__Flavonifractor,Basal Diet_Day21,0.646718181,0.083087725,0.133448325,0.013892123
g__Talaromyces,g__Enterococcus,Basal Diet_Day10,-0.616666667,0.085725309,0.071143344,0.320828489
g__Pyricularia,g__Lactobacillus,Basal Diet_Day10,-0.616666667,0.085725309,0.056864348,0.209988822
g__Saccharomyces,g__Shigella,Basal Diet_Day10,-0.602494813,0.085967159,0.013071502,0.001375658
g__Candida,g__Faecalibacterium,Basal Diet_Day10,-0.600567913,0.087244226,0.112888233,0.027285664
g__Malassezia,g__Shigella,BMD_Day1,-0.634741919,0.090890436,0.073421688,0.024299832
g__Malassezia,g__Limosilactobacillus,Probiotic_Day10,-0.634741919,0.090890436,0.028986607,0.048504922
g__Saccharomyces,g__Subdoligranulum,Probiotic_Day10,0.634741919,0.090890436,0.011953729,0.021243091
g__Saccharomyces,g__Lachnoclostridium,Probiotic_Day10,0.634741919,0.090890436,0.011953729,0.023177368
g__Ascochyta,g__Shigella,Essential oils_Day10,-0.634335047,0.091162664,0.022617617,0.001494821
g__Eremothecium,g__Ligilactobacillus,BMD_Day21,0.634335047,0.091162664,0.01811017,0.040594284
g__Ascochyta,g__Enterococcus,BMD_Day10,-0.634182862,0.091264608,0.014426074,0.483332009
g__Candida,g__Lachnoclostridium,BMD_Day21,-0.634182862,0.091264608,0.005560111,0.040034722
g__Candida,g__Massilistercora,BMD_Day21,-0.634182862,0.091264608,0.005560111,0.019550457
g__Colletotrichum,g__Lactobacillus,Essential oils_Day21,0.634182862,0.091264608,0.035162325,0.167748054
g__Ascochyta,g__Bifidobacterium,Basal Diet_Day10,0.593305566,0.092161953,0.0141494,0.057273827
g__Cutaneotrichosporon,g__Massilistercora,Basal Diet_Day10,0.593305566,0.092161953,0.040291389,0.012800621
g__Zymoseptoria,g__Limosilactobacillus,Essential oils_Day21,0.627376434,0.095891444,0.021362486,0.021916324
g__Ustilago,g__Enterococcus,Essential oils_Day21,0.627376434,0.095891444,0.01109871,0.030981701
g__Ustilago,g__Ligilactobacillus,Essential oils_Day21,0.627376434,0.095891444,0.01109871,0.039494027
g__Trichoderma,g__Flavonifractor,Basal Diet_Day21,0.627376434,0.095891444,0.011973015,0.013892123
g__Eremothecium,g__Flavonifractor,Essential oils_Day21,-0.627376434,0.095891444,0.015520235,0.018628755
g__Fusarium,g__Lactobacillus,Essential oils_Day1,-0.642857143,0.096180556,0.194187688,0.019290978
g__Fusarium,g__Lactobacillus,BMD_Day10,-0.642857143,0.096180556,0.140041055,0.209827214
g__Candida,g__Subdoligranulum,Probiotic_Day10,-0.642857143,0.096180556,0.110786728,0.021243091
